lambda,value
0.01,6.697781183020152
0.012648552168552958,6.697231874508075
0.015998587196060583,6.696554737895982
0.020235896477251575,6.695648811938173
0.025595479226995357,6.694562159746907
0.032374575428176434,6.693213643727832
0.040949150623804255,6.691530032961781
0.05179474679231213,6.6897120278264985
0.0655128556859551,6.687124385401711
0.08286427728546843,6.684333126245019
0.10481131341546858,6.680989339701179
0.13257113655901095,6.677123972964558
0.16768329368110083,6.672788402105443
0.21209508879201905,6.668093450093061
0.2682695795279726,6.6629596920024525
0.33932217718953295,6.6577325135158665
0.42919342601287785,6.652587290924701
0.5428675439323859,6.647885182300842
0.6866488450043002,6.64362477261269
0.8685113737513529,6.6403030002699985
1.0985411419875584,6.6376519435532435
1.3894954943731375,6.636047424146239
1.757510624854793,6.635246991740796
2.2229964825261956,6.635172002037015
2.8117686979742307,6.635693429156879
3.5564803062231287,6.63660822241137
4.498432668969444,6.637705838661297
5.689866029018299,6.638962193321898
7.196856730011521,6.640253661889839
9.102981779915218,6.641472903125923
11.513953993264481,6.642590504679378
14.563484775012444,6.643511376866047
18.420699693267164,6.644261140393697
23.29951810515372,6.644932968874543
29.4705170255181,6.645499099597239
37.27593720314942,6.646012200898742
47.14866363457394,6.646315770732441
59.63623316594643,6.646668528105675
75.43120063354623,6.646836311770587
95.40954763499944,6.647196126490483
120.67926406393289,6.6471787427982925
152.64179671752333,6.647468439947258
193.06977288832496,6.647577380389154
244.205309454865,6.647626550798867
308.8843596477485,6.6481917478114205
390.6939937054621,6.647730642873481
494.17133613238383,6.647828699918788
625.0551925273976,6.647812447651446
790.6043210907702,6.6475384816733545
1000.0,6.6473710162816415
