lambda,value
0.01,6.667450455919371
0.012648552168552958,6.6599745562104475
0.015998587196060583,6.651079338178133
0.020235896477251575,6.640558926222859
0.025595479226995357,6.62841771294929
0.032374575428176434,6.614913224236935
0.040949150623804255,6.600702518630523
0.05179474679231213,6.5861553854652195
0.0655128556859551,6.572440548997553
0.08286427728546843,6.56269079068037
0.10481131341546858,6.559329601355963
0.13257113655901095,6.559208623310474
0.16768329368110083,6.559208623476726
0.21209508879201905,6.559208623288126
0.2682695795279726,6.559208623272432
0.33932217718953295,6.559208623272131
0.42919342601287785,6.559208623271458
0.5428675439323859,6.559208623268551
0.6866488450043002,6.559208623270077
0.8685113737513529,6.559208623267494
1.0985411419875584,6.559208623267304
1.3894954943731375,6.559208623267214
1.757510624854793,6.559208623268351
2.2229964825261956,6.559208623266743
2.8117686979742307,6.559208623267139
3.5564803062231287,6.559208623267975
4.498432668969444,6.559208623267262
5.689866029018299,6.5592086232672395
7.196856730011521,6.55920862326723
9.102981779915218,6.559208623267241
11.513953993264481,6.559208623267221
14.563484775012444,6.559208623267226
18.420699693267164,6.559208623267215
23.29951810515372,6.559208623267223
29.4705170255181,6.559208623267233
37.27593720314942,6.559208623267222
47.14866363457394,6.559208623267227
59.63623316594643,6.55920862326728
75.43120063354623,6.55920862326723
95.40954763499944,6.559208623267222
120.67926406393289,6.559208623267246
152.64179671752333,6.559208623267231
193.06977288832496,6.559208623267222
244.205309454865,6.5592086232672315
308.8843596477485,6.55920862326724
390.6939937054621,6.559208623267252
494.17133613238383,6.559208623267203
625.0551925273976,6.559208623267213
790.6043210907702,6.559208623267216
1000.0,6.559208623267226
