Sigma,RMSE_LSQ,RMSE_L2Norm,RMSE_L1Norm
0.1,0.0569433564550578,0.06399876516796771,0.06122232259410634
0.2,0.09905400347359994,0.10946278332263162,0.10286106278098804
0.30000000000000004,0.14821160059364713,0.160885701552021,0.15065570251379135
0.4,0.19122179157056637,0.2290379729910872,0.1932399619569284
0.5,0.2701133424862464,0.287014133944184,0.2715311546734921
0.6,0.2923382457069267,0.32353521757238235,0.2941076847062697
0.7000000000000001,0.3566779982498538,0.39778958994811703,0.3579510819905875
0.8,0.39486724950442936,0.42504282942214044,0.39622481595733505
0.9,0.4345432666038208,0.4834685876054164,0.43568289847539304
1.0,0.4757519905619256,0.5327960844823016,0.47670222633945525
1.1,0.5776685039856123,0.6335156916525593,0.5783096474900399
1.2000000000000002,0.6047602866401155,0.6708587449681346,0.6054868313729496
1.3000000000000003,0.647711736354269,0.6987186353780636,0.6483577952835955
1.4000000000000001,0.7128202414409255,0.7700757605271028,0.7134191098551654
1.5000000000000002,0.7069816255727646,0.7668182490761071,0.7074820736924836
1.6,0.8149287732563315,0.8905424054587513,0.8156034529525801
1.7000000000000002,0.8453095656225675,0.9151945503736699,0.8459778177648012
1.8000000000000003,0.9231927418375627,0.983523815863274,0.9236506425533045
1.9000000000000001,0.9518031713906984,1.0233980587425207,0.9522316068937324
2.0,0.9702725798043832,1.0515697228656171,0.970712976538911
