num1,num2,accuracy
1,2,0.5491803278688525
1,3,0.5982142857142857
1,4,0.5491803278688525
1,5,0.5726495726495726
1,6,0.6090909090909091
1,7,0.5775862068965517
1,8,0.6261682242990654
1,9,0.5537190082644627
2,3,0.44999999999999996
2,4,0.5
2,5,0.5238095238095238
2,6,0.4387755102040817
2,7,0.47115384615384615
2,8,0.5789473684210527
2,9,0.4954128440366973
3,4,0.55
3,5,0.4736842105263158
3,6,0.48863636363636365
3,7,0.5212765957446808
3,8,0.5294117647058824
3,9,0.5454545454545454
4,5,0.5238095238095238
4,6,0.5612244897959184
4,7,0.47115384615384615
4,8,0.5789473684210527
4,9,0.5045871559633027
5,6,0.4623655913978495
5,7,0.4949494949494949
5,8,0.4444444444444444
5,9,0.5192307692307692
6,7,0.5326086956521738
6,8,0.5180722891566265
6,9,0.44329896907216493
7,8,0.550561797752809
7,9,0.47572815533980584
8,9,0.574468085106383
