lambda,value
0.01,6.66933251279873
0.012648552168552958,6.662212910250658
0.015998587196060583,6.653720858198836
0.020235896477251575,6.643633491306356
0.025595479226995357,6.631879778193677
0.032374575428176434,6.618661190569625
0.040949150623804255,6.604596394824761
0.05179474679231213,6.590039647491858
0.0655128556859551,6.575685541548328
0.08286427728546843,6.564129444151378
0.10481131341546858,6.559565297473728
0.13257113655901095,6.559208623500485
0.16768329368110083,6.559208624594851
0.21209508879201905,6.559208623428561
0.2682695795279726,6.5592086233169695
0.33932217718953295,6.559208623323038
0.42919342601287785,6.559208623327531
0.5428675439323859,6.559208623290785
0.6866488450043002,6.559208623331972
0.8685113737513529,6.559208623274821
1.0985411419875584,6.559208623269928
1.3894954943731375,6.559208623267822
1.757510624854793,6.559208623330962
2.2229964825261956,6.5592086233011315
2.8117686979742307,6.559208623275129
3.5564803062231287,6.559208623350737
4.498432668969444,6.5592086232719575
5.689866029018299,6.5592086232693445
7.196856730011521,6.5592086232678
9.102981779915218,6.559208623271382
11.513953993264481,6.55920862326934
14.563484775012444,6.559208623267348
18.420699693267164,6.559208623274548
23.29951810515372,6.559208623270056
29.4705170255181,6.55920862327287
37.27593720314942,6.559208623273389
47.14866363457394,6.559208623267875
59.63623316594643,6.559208623369158
75.43120063354623,6.559208623273057
95.40954763499944,6.559208623280367
120.67926406393289,6.559208623337674
152.64179671752333,6.559208623285968
193.06977288832496,6.5592086232987645
244.205309454865,6.559208623300215
308.8843596477485,6.559208623400992
390.6939937054621,6.5592086235788205
494.17133613238383,6.559208623630321
625.0551925273976,6.55920862354501
790.6043210907702,6.559208623515729
1000.0,6.559208623276256
