k1,k2,AverageWeight,Rank,CutWeight,Opt
2,2,0.6666666666666666,4,4.0,3.9999999983169348
2,4,0.5333333333333333,6,4.0,7.99999999730909
2,6,0.42857142857142855,8,10.0,11.999999996972774
2,8,0.35555555555555557,10,8.0,15.999999987831789
2,10,0.30303030303030304,12,6.0,19.999999964817512
2,12,0.26373626373626374,14,12.0,23.999999969199784
2,14,0.23333333333333334,16,18.0,27.99999994836323
2,16,0.20915032679738563,18,16.0,31.99999997235956
2,18,0.18947368421052632,20,30.0,35.99999993326727
2,20,0.17316017316017315,22,40.0,39.99999986514181
4,2,0.5333333333333333,6,4.0,7.999999997309091
4,4,0.5714285714285714,8,16.0,15.999999989006524
4,6,0.5333333333333333,10,20.0,23.999999828588603
4,8,0.48484848484848486,12,14.0,31.999999684804518
4,10,0.43956043956043955,14,20.0,39.999999977321814
4,12,0.4,16,24.0,47.99999965996484
4,14,0.3660130718954248,18,36.0,55.99999997929788
4,16,0.3368421052631579,20,42.0,63.99999772942199
4,18,0.3116883116883117,22,48.0,71.99999915873094
4,20,0.2898550724637681,24,44.0,79.99999812249008
6,2,0.42857142857142855,8,8.0,11.999999996972777
6,4,0.5333333333333333,10,16.0,23.9999998285886
6,6,0.5454545454545454,12,12.0,35.999999974845394
6,8,0.5274725274725275,14,24.0,47.99999985120861
6,10,0.5,16,38.0,59.999999949832294
6,12,0.47058823529411764,18,42.0,71.99999905246273
6,14,0.4421052631578947,20,42.0,83.9999994699609
6,16,0.4155844155844156,22,50.0,95.99999980856172
6,18,0.391304347826087,24,48.0,107.99999748092645
6,20,0.36923076923076925,26,76.0,119.99999863502964
8,2,0.35555555555555557,10,10.0,15.999999987831787
8,4,0.48484848484848486,12,18.0,31.999999684804518
8,6,0.5274725274725275,14,28.0,47.99999985120863
8,8,0.5333333333333333,16,32.0,63.99999977964166
8,10,0.5228758169934641,18,40.0,79.99999904990791
8,12,0.5052631578947369,20,46.0,95.99999990529027
8,14,0.48484848484848486,22,62.0,111.99999960771788
8,16,0.463768115942029,24,74.0,127.999999445157
8,18,0.4430769230769231,26,74.0,143.99999982233754
8,20,0.42328042328042326,28,96.0,159.9999996950612
10,2,0.30303030303030304,12,10.0,19.999999964817523
10,4,0.43956043956043955,14,24.0,39.99999997732181
10,6,0.5,16,42.0,59.999999949832315
10,8,0.5228758169934641,18,40.0,79.99999904990793
10,10,0.5263157894736842,20,58.0,99.99999936973776
10,12,0.5194805194805194,22,62.0,119.99999807200946
10,14,0.5072463768115942,24,74.0,139.99999971977317
10,16,0.49230769230769234,26,96.0,159.9999988660519
10,18,0.47619047619047616,28,114.0,179.9999928442413
10,20,0.45977011494252873,30,148.0,199.9999976485004
12,2,0.26373626373626374,14,12.0,23.99999996919978
12,4,0.4,16,22.0,47.99999965996485
12,6,0.47058823529411764,18,36.0,71.99999905246274
12,8,0.5052631578947369,20,60.0,95.99999990529028
12,10,0.5194805194805194,22,68.0,119.99999807200952
12,12,0.5217391304347826,24,74.0,143.99999884335938
12,14,0.5169230769230769,26,100.0,167.99999707699706
12,16,0.5079365079365079,28,126.0,191.9999996814805
12,18,0.496551724137931,30,108.0,215.99999625022878
12,20,0.4838709677419355,32,124.0,239.99999981117725
14,2,0.23333333333333334,16,26.0,27.999999948363225
14,4,0.3660130718954248,18,28.0,55.999999979297876
14,6,0.4421052631578947,20,54.0,83.9999994699609
14,8,0.48484848484848486,22,64.0,111.9999996077179
14,10,0.5072463768115942,24,82.0,139.99999971977326
14,12,0.5169230769230769,26,92.0,167.9999970769971
14,14,0.5185185185185185,28,128.0,195.99999843103376
14,16,0.5149425287356322,30,128.0,223.99999503949178
14,18,0.5080645161290323,32,126.0,251.9999995174995
14,20,0.49910873440285203,34,152.0,279.9999988060809
16,2,0.20915032679738563,18,18.0,31.99999997235956
16,4,0.3368421052631579,20,44.0,63.99999772942199
16,6,0.4155844155844156,22,48.0,95.99999980856174
16,8,0.463768115942029,24,56.0,127.99999944515694
16,10,0.49230769230769234,26,80.0,159.99999886605198
16,12,0.5079365079365079,28,96.0,191.99999968148046
16,14,0.5149425287356322,30,160.0,223.99999503949175
16,16,0.5161290322580645,32,198.0,255.9999984971679
16,18,0.5133689839572193,34,160.0,287.9999908040874
16,20,0.5079365079365079,36,160.0,319.9999995902767
18,2,0.18947368421052632,20,34.0,35.99999993326727
18,4,0.3116883116883117,22,46.0,71.99999915873093
18,6,0.391304347826087,24,62.0,107.99999748092644
18,8,0.4430769230769231,26,80.0,143.99999982233757
18,10,0.47619047619047616,28,114.0,179.99999284424126
18,12,0.496551724137931,30,104.0,215.99999625022875
18,14,0.5080645161290323,32,146.0,251.99999951749948
18,16,0.5133689839572193,34,142.0,287.9999908040874
18,18,0.5142857142857142,36,202.0,323.9999989427506
18,20,0.5120910384068279,38,212.0,359.99999407591594
20,2,0.17316017316017315,22,22.0,39.99999986514181
20,4,0.2898550724637681,24,40.0,79.9999981224901
20,6,0.36923076923076925,26,40.0,119.99999863502964
20,8,0.42328042328042326,28,80.0,159.99999969506118
20,10,0.45977011494252873,30,104.0,199.9999976485004
20,12,0.4838709677419355,32,120.0,239.99999981117728
20,14,0.49910873440285203,34,146.0,279.9999988060809
20,16,0.5079365079365079,36,200.0,319.99999959027656
20,18,0.5120910384068279,38,208.0,359.9999940759159
20,20,0.5128205128205128,40,200.0,399.99999915338185
