num1,num2,accuracy
1,2,0.9754098360655737
1,3,0.9910714285714286
1,4,1.0
1,5,1.0
1,6,0.990909090909091
1,7,1.0
1,8,0.6168224299065421
1,9,0.9917355371900827
2,3,0.9299999999999999
2,4,0.9181818181818182
2,5,0.9047619047619048
2,6,0.8571428571428572
2,7,0.9903846153846154
2,8,0.8105263157894737
2,9,0.944954128440367
3,4,0.95
3,5,0.7157894736842105
3,6,0.9659090909090909
3,7,0.6276595744680851
3,8,0.788235294117647
3,9,0.9191919191919192
4,5,0.9333333333333333
4,6,0.846938775510204
4,7,0.9615384615384616
4,8,0.8210526315789474
4,9,0.8623853211009174
5,6,0.9032258064516129
5,7,1.0
5,8,0.4555555555555556
5,9,0.9903846153846154
6,7,1.0
6,8,0.7590361445783133
6,9,1.0
7,8,0.7078651685393258
7,9,0.8446601941747574
8,9,0.5957446808510638
